Path,Transcript
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0013.flac,while the liberated exiles rejoiced on the plain of meath the tent of the abbot of iona was pitched on the rath of tara a fact which would seem to indicate that already in little more than a century since the interdict had fallen on it the edifices which made so fine a show in the days of patrick were ruined and uninhabitable
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0012.flac,i followed with the spade over my shoulder dragging my snake
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0030.flac,pavel knocked him over the side of the sledge and threw the girl after him
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0037.flac,if he didn't go and see them they would sue him promptly
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0021.flac,something happened to the hindmost sledge the driver lost control he was probably very drunk the horses left the road the sledge was caught in a clump of trees and overturned
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0009.flac,the sick man raged and shook his fist
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0002.flac,to him the presence or absence of his wife's sister was a matter of indifference
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0017.flac,at one thirty he went to rector's for lunch and when he returned a messenger was waiting for him
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0004.flac,he was getting some vague comfort out of a good cigar but it was no panacea for the ill which affected him
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0035.flac,they worked in chicago des moines fort wayne but they were always unfortunate
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0002.flac,no letter had come no word of any kind and yet here it was late in the evening and she had agreed to meet him that morning
/content/LibriSpeech/dev-clean/2086/149214/2086-149214-0002.flac,the author has considered it hardly worth his while therefore relentlessly to impale the story with its moral as with an iron rod or rather as by sticking a pin through a butterfly thus at once depriving it of life and causing it to stiffen in an ungainly and unnatural attitude
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0019.flac,but he compromised by telling the boy that there would be no reply
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0025.flac,and the wolves pavel asked enough enough for all of us
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0013.flac,you could get home easy too it isn't very far
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0014.flac,all the time his thoughts would run out to his home and see the scene being therein enacted
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0016.flac,anything was good enough so long as it paid say five dollars a week to begin with
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0001.flac,he could hardly realise how it had all come about
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0001.flac,this change came about from an adventure we had together
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0004.flac,his ambition was some day to build a house on them
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0024.flac,there are only three sledges left he whispered
/content/LibriSpeech/dev-clean/2277/149874/2277-149874-0007.flac,the floors were covered with matting and the hall laid with a thin rag carpet
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0027.flac,hurstwood almost exclaimed out loud at the insistency of this thing
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0002.flac,it is pretty clear also that the last rally of druidism against christianity took place behind his banner on the plain of moira
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0002.flac,one day when i rode over to the shimerdas i found antonia starting off on foot for russian peter's house to borrow a spade ambrosch needed
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0017.flac,saint moling survived him three years and saint adamnan so intimately connected with his reign ten years
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0009.flac,the saxons of kent and the southern kingdoms generally were converted by missionaries from france or rome or native preachers of the first or second christian generation those of northumbria recognise as their apostles saint aidan and saint cuthbert two fathers from iona
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0026.flac,they were within a few miles of their village now
/content/LibriSpeech/dev-clean/2277/149896/2277-149896-0003.flac,he also thought of his managerial position
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0014.flac,from our bench we could see what a hollow case his body was
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0007.flac,the sharp smell of spirits went through the room
/content/LibriSpeech/dev-clean/2035/147960/2035-147960-0009.flac,look tony that's his poison i said
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0016.flac,without a word peter got up and lit his lantern
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0000.flac,throughout this century the power of the church was constantly on the increase and is visible in many important changes
/content/LibriSpeech/dev-clean/2035/152373/2035-152373-0018.flac,nothing could be more natural than such an assembly in such a place at such a period
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0006.flac,i could not take my eyes off the man in the bed
/content/LibriSpeech/dev-clean/2277/149897/2277-149897-0020.flac,the helpless manager paced the floor and grimly endured the gloom of defeat
/content/LibriSpeech/dev-clean/2035/147961/2035-147961-0001.flac,peter could give no very clear account of his transactions with cutter
